Barter Island LRRS Airport,Barter Island,
Cape Lisburne LRRS Airport,Cape Lisburne,
Point Lay LRRS Airport,Point Lay,
Hilo International Airport,Hilo,
Bettles Airport,Bettles,
Fort Yukon Airport,Fort Yukon,
St Paul Island Airport,St. Paul Island,
St George Airport,Point Barrow,
Iliamna Airport,Iliamna,
Platinum Airport,Port Moller,
Fort Smith Regional Airport,Fort Smith,
Grand Forks International Airport,Grand Forks,
Hana Airport,Hana,
Ernest A. Love Field,Prescott,
Trenton Mercer Airport,Trenton,
General Edward Lawrence Logan International Airport,Boston,
Metropolitan Oakland International Airport,Oakland,
Eppley Airfield,Omaha,
Kahului Airport,Kahului,
Wichita Eisenhower National Airport,Wichita,
Kansas City International Airport,Kansas City,
Dane County Regional Truax Field,Madison,
Dillingham Airport,Dillingham,
Boone County Airport,Harrison,
Phoenix Sky Harbor International Airport,Phoenix,
Bangor International Airport,Bangor,
East Texas Regional Airport,Longview,
Spokane International Airport,Spokane,
San Francisco International Airport,San Francisco,
Gainesville Regional Airport,Gainesville,
Memphis International Airport,Memphis,
Los Angeles International Airport,Los Angeles,
Cleveland Hopkins International Airport,Cleveland,
Cincinnati Northern Kentucky International Airport,Cincinnati,
Huron Regional Airport,Huron,
Juneau International Airport,Juneau,
Lafayette Regional Airport,Lafayette,
Newark Liberty International Airport,Newark,
Boise Air Terminal/Gowen Field,Boise,
Garden City Regional Airport,Garden City,
Minot International Airport,Minot,
Dallas Love Field,Dallas,
Helena Regional Airport,Helena,
Lake Charles Regional Airport,Lake Charles,
Ellison Onizuka Kona International At Keahole Airport,Kona,
Myrtle Beach International Airport,Myrtle Beach,
Nantucket Memorial Airport,Nantucket,
Ronald Reagan Washington National Airport,Washington,
Atlantic City International Airport,Atlantic City,
Pueblo Memorial Airport,Pueblo,
Northern Maine Regional Airport at Presque Isle,Presque Isle,
Kodiak Airport,Kodiak,
Fort Lauderdale Hollywood International Airport,Fort Lauderdale,
Falls International Airport,International Falls,
Salt Lake City International Airport,Salt Lake City,
Harrisburg International Airport,Harrisburg,
Lincoln Airport,Lincoln,
Capital City Airport,Lansing,
Waimea Kohala Airport,Kamuela,
Massena International Richards Field,Massena,
George Bush Intercontinental Houston Airport,Houston,
Meadows Field,Bakersfield,
El Paso International Airport,El Paso,
Valley International Airport,Harlingen,
Columbia Metropolitan Airport,Columbia,
Pensacola Regional Airport,Pensacola,
William P Hobby Airport,Houston,
Pittsburgh International Airport,Pittsburgh,
Wiley Post Will Rogers Memorial Airport,Barrow,
Miami International Airport,Miami,
Seattle Tacoma International Airport,Seattle,
Lovell Field,Chattanooga,
Jackson-Medgar Wiley Evers International Airport,Jackson,
Long Beach /Daugherty Field/ Airport,Long Beach,
Williamsport Regional Airport,Williamsport,
Indianapolis International Airport,Indianapolis,
Westchester County Airport,White Plains,
Jonesboro Municipal Airport,Jonesboro,
Yuma MCAS/Yuma International Airport,Yuma,
Cavern City Air Terminal,Carlsbad,
Duluth International Airport,Duluth,
Bethel Airport,Bethel,
Lihue Airport,Lihue,
Havre City County Airport,Havre,
Richmond International Airport,Richmond,
Shreveport Regional Airport,Shreveport,
Merle K (Mudhole) Smith Airport,Cordova,
Norfolk International Airport,Norfolk,
Southeast Texas Regional Airport,Beaumont,
Savannah Hilton Head International Airport,Savannah,
Nome Airport,Nome,
St Petersburg Clearwater International Airport,St. Petersburg,
Deadhorse Airport,Deadhorse,
San Antonio International Airport,San Antonio,
Greater Rochester International Airport,Rochester,
Teterboro Airport,Teterboro,
Raleigh Durham International Airport,Raleigh-durham,
James M Cox Dayton International Airport,Dayton,
Kenai Municipal Airport,Kenai,
Niagara Falls International Airport,Niagara Falls,
Newport News Williamsburg International Airport,Newport News,
Tucson International Airport,Tucson,
Theodore Francis Green State Airport,Providence,
Salisbury Ocean City Wicomico Regional Airport,Salisbury,
Bob Hope Airport,Burbank,
Detroit Metropolitan Wayne County Airport,Detroit,
Tampa International Airport,Tampa,
Range Regional Airport,Hibbing,
Midland International Airport,Midland,
Austin Straubel International Airport,Green Bay,
Augusta Regional At Bush Field,Bush Field,
Sloulin Field International Airport,Williston,
Bill & Hillary Clinton National Airport/Adams Field,Little Rock,
Stewart International Airport,Newburgh,
Homer Airport,Homer,
Waynesville-St. Robert Regional Forney field,Fort Leonardwood,
Dallas Fort Worth International Airport,Dallas-Fort Worth,
Melbourne International Airport,Melbourne,
Austin Bergstrom International Airport,Austin,
Rickenbacker International Airport,Columbus,
Sawyer International Airport,Gwinn,
McGhee Tyson Airport,Knoxville,
St Louis Lambert International Airport,St. Louis,
Sheppard Air Force Base-Wichita Falls Municipal Airport,Wichita Falls,
Hartsfield Jackson Atlanta International Airport,Atlanta,
Gerald R. Ford International Airport,Grand Rapids,
Fresno Yosemite International Airport,Fresno,
Imperial County Airport,Imperial,
Nashville International Airport,Nashville,
Laredo International Airport,Laredo,
Ralph Wien Memorial Airport,Kotzebue,
Altoona Blair County Airport,Altoona,
South Arkansas Regional At Goodwin Field,El Dorado,
La Guardia Airport,New York,
Tallahassee Regional Airport,Tallahassee,
Waco Regional Airport,Waco,
Augusta State Airport,Augusta,
McKellar-Sipes Regional Airport,Jackson,
Molokai Airport,Molokai,
San Angelo Regional Mathis Field,San Angelo,
Chico Municipal Airport,Chico,
Burlington International Airport,Burlington,
Jacksonville International Airport,Jacksonville,
Durango La Plata County Airport,Durango,
Washington Dulles International Airport,Washington,
Easterwood Field,College Station,
General Mitchell International Airport,Milwaukee,
Abilene Regional Airport,Abilene,
Columbia Regional Airport,Columbia,
Portland International Airport,Portland,
Palm Beach International Airport,West Palm Beach,
Ogdensburg International Airport,Ogdensburg,
Boeing Field King County International Airport,Seattle,
Daniel K Inouye International Airport,Honolulu,
Des Moines International Airport,Des Moines,
Coastal Carolina Regional Airport,New Bern,
San Diego International Airport,San Diego,
Monroe Regional Airport,Monroe,
Ontario International Airport,Ontario,
Roswell International Air Center Airport,Roswell,
Brownsville South Padre Island International Airport,Brownsville,
Dothan Regional Airport,Dothan,
Four Corners Regional Airport,Farmington,
Corpus Christi International Airport,Corpus Christi,
Syracuse Hancock International Airport,Syracuse,
Chicago Midway International Airport,Chicago,
Norman Y. Mineta San Jose International Airport,San Jose,
Lea County Regional Airport,Hobbs,
Denver International Airport,Denver,
Philadelphia International Airport,Philadelphia,
Sioux Gateway Col. Bud Day Field,Sioux City,
Middle Georgia Regional Airport,Macon,
John Glenn Columbus International Airport,Columbus,
Edward G. Pitka Sr Airport,Galena,
Texarkana Regional Webb Field,Texarkana,
Plattsburgh International Airport,Plattsburgh,
Ted Stevens Anchorage International Airport,Anchorage,
Robert Gray  Army Air Field Airport,Killeen,
Bellingham International Airport,Bellingham,
Mobile Regional Airport,Mobile,
Santa Fe Municipal Airport,Santa Fe,
Scott AFB/Midamerica Airport,Belleville,
Southwest Florida International Airport,Fort Myers,
King Salmon Airport,King Salmon,
Kapalua Airport,Lahania-kapalua,
John F Kennedy International Airport,New York,
Cheyenne Regional Jerry Olson Field,Cheyenne,
Stockton Metropolitan Airport,Stockton,
Charleston Air Force Base-International Airport,Charleston,
Reno Tahoe International Airport,Reno,
Ketchikan International Airport,Ketchikan,
Birmingham-Shuttlesworth International Airport,Birmingham,
Modesto City Co-Harry Sham Field,Modesto,
Sacramento International Airport,Sacramento,
City of Colorado Springs Municipal Airport,Colorado Springs,
Buffalo Niagara International Airport,Buffalo,
Cedar City Regional Airport,Cedar City,
Bradley International Airport,Windsor Locks,
Mc Allen Miller International Airport,Mcallen,
Lubbock Preston Smith International Airport,Lubbock,
Chicago O'Hare International Airport,Chicago,
Fairbanks International Airport,Fairbanks,
Watertown International Airport,Watertown,
Palm Springs International Airport,Palm Springs,
Rick Husband Amarillo International Airport,Amarillo,
Topeka Regional Airport - Forbes Field,Topeka,
Wilmington International Airport,Wilmington,
Baton Rouge Metropolitan Airport,Baton Rouge,
Tyler Pounds Regional Airport,Tyler,
Baltimore/Washington International Thurgood Marshall Airport,Baltimore,
Lanai Airport,Lanai,
Alexandria International Airport,Alexandria,
Cold Bay Airport,Cold Bay,
Tulsa International Airport,Tulsa,
Sitka Rocky Gutierrez Airport,Sitka,
Long Island Mac Arthur Airport,Islip,
Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,
New Castle Airport,Wilmington,
Unalaska Airport,Unalaska,
Louis Armstrong New Orleans International Airport,New Orleans,
Portland International Jetport Airport,Portland,
Will Rogers World Airport,Oklahoma City,
Albany International Airport,Albany,
Valdez Pioneer Field,Valdez,
John Wayne Airport-Orange County Airport,Santa Ana,
Casper-Natrona County International Airport,Casper,
Destin-Ft Walton Beach Airport,Valparaiso,
Key West International Airport,Key West,
Charlotte Douglas International Airport,Charlotte,
McCarran International Airport,Las Vegas,
Orlando International Airport,Orlando,
Florence Regional Airport,Florence,
Great Falls International Airport,Great Falls,
Youngstown Warren Regional Airport,Youngstown,
Pullman Moscow Regional Airport,Pullman,
Lewiston Nez Perce County Airport,Lewiston,
Elmira Corning Regional Airport,Elmira,
Ithaca Tompkins Regional Airport,Ithaca,
Monterey Peninsula Airport,Monterey,
Santa Barbara Municipal Airport,Santa Barbara,
Daytona Beach International Airport,Daytona Beach,
Tweed New Haven Airport,New Haven,
Asheville Regional Airport,Asheville,
Piedmont Triad International Airport,Greensboro,
Joe Foss Field Airport,Sioux Falls,
Manchester-Boston Regional Airport,Manchester NH,
Naples Municipal Airport,Naples,
Louisville International Standiford Field,Louisville,
Charlottesville Albemarle Airport,Charlottesville VA,
Roanoke–Blacksburg Regional Airport,Roanoke VA,
Blue Grass Airport,Lexington KY,
Evansville Regional Airport,Evansville,
Albuquerque International Sunport,Albuquerque,
Gallatin Field,Bozeman,
Billings Logan International Airport,Billings,
Bert Mooney Airport,Butte,
Cherry Capital Airport,Traverse City,
Hancock County-Bar Harbor Airport,Bar Harbor,
Knox County Regional Airport,Rockland,
Jackson Hole Airport,Jacksn Hole,
Chicago Rockford International Airport,Rockford,
Greenville Spartanburg International Airport,Greenville,
Central Illinois Regional Airport at Bloomington-Normal,Bloomington,
Gulfport Biloxi International Airport,Gulfport,
Kalamazoo Battle Creek International Airport,Kalamazoo,
Toledo Express Airport,Toledo,
Fort Wayne International Airport,Fort Wayne,
Decatur Airport,Decatur,
The Eastern Iowa Airport,Cedar Rapids,
La Crosse Municipal Airport,La Crosse,
Central Wisconsin Airport,Wassau,
General Wayne A. Downing Peoria International Airport,Peoria,
Appleton International Airport,Appleton,
Rochester International Airport,Rochester,
University of Illinois Willard Airport,Champaign,
Manhattan Regional Airport,Manhattan,
Venango Regional Airport,Franklin,
Grand Junction Regional Airport,Grand Junction,
St George Municipal Airport,Saint George,
Sarasota Bradenton International Airport,Sarasota,
Quad City International Airport,Moline,
Bismarck Municipal Airport,Bismarck,
Rapid City Regional Airport,Rapid City,
Mc Clellan-Palomar Airport,Carlsbad,
Bishop International Airport,Flint,
Redding Municipal Airport,Redding,
Mahlon Sweet Field,Eugene,
Idaho Falls Regional Airport,Idaho Falls,
Rogue Valley International Medford Airport,Medford,
Roberts Field,Redmond-Bend,
Akron Canton Regional Airport,Akron,
Huntsville International Carl T Jones Field,Huntsville,
Mid Ohio Valley Regional Airport,PARKERSBURG,
Montgomery Regional (Dannelly Field) Airport,MONTGOMERY,
Tri-Cities Regional TN/VA Airport,BRISTOL,
Barkley Regional Airport,PADUCAH,
Page Municipal Airport,Page,
Glacier Park International Airport,Kalispell,
MBS International Airport,Saginaw,
Greater Binghamton/Edwin A Link field,Binghamton,
Petersburg James A Johnson Airport,Petersburg,
Orlando Sanford International Airport,Sanford,
John Murtha Johnstown Cambria County Airport,Johnstown,
Missoula International Airport,Missoula,
Grand Canyon National Park Airport,Grand Canyon,
Eagle County Regional Airport,Vail,
Columbus Metropolitan Airport,Columbus,
Lawton Fort Sill Regional Airport,Lawton,
Flagstaff Pulliam Airport,Flagstaff,
Joslin Field Magic Valley Regional Airport,Twin Falls,
Martha's Vineyard Airport,Vineyard Haven MA,
St Cloud Regional Airport,Saint Cloud,
Golden Triangle Regional Airport,Columbus Mississippi,
Erie International Tom Ridge Field,Erie,
